Unique ID,Airline,Flight ID,Schedule Time,Arrival/Departure,Airport Code
12096440,JUL,JUL2412,2023-12-14T08:00:00Z,D,JUL
12096439,BRR,BRR2412,2023-12-14T12:00:00Z,D,SYG
12096438,JUL,JUL2512,2023-12-14T16:00:00Z,D,JUL
12097738,JUL,JUL2412,2023-12-15T08:00:00Z,D,JUL
12097739,BRR,BRR2412,2023-12-15T12:00:00Z,D,SYG
12095902,TRK,TRK005,2023-12-15T14:00:00Z,D,ESB
12097740,JUL,JUL2512,2023-12-15T16:00:00Z,D,JUL
12097741,JUL,JUL2412,2023-12-16T08:00:00Z,D,JUL
12097742,BRR,BRR2412,2023-12-16T12:00:00Z,D,SYG
12097743,JUL,JUL2512,2023-12-16T16:00:00Z,D,JUL
12104451,JUL,JUL2412,2023-12-18T08:00:00Z,D,JUL
12104458,BRR,BRR2412,2023-12-18T12:00:00Z,D,SYG
12104465,JUL,JUL2512,2023-12-18T16:00:00Z,D,JUL
12104501,JUL,JUL2412,2023-12-19T08:00:00Z,D,JUL
12048454,DY,DY1502,2023-12-19T08:50:00Z,D,PRG
12047965,SK,SK4603,2023-12-19T08:50:00Z,D,DUB
12048385,SK,SK841,2023-12-19T08:50:00Z,D,ZRH
12048369,SK,SK864,2023-12-19T08:55:00Z,D,ARN
12048434,SK,SK1455,2023-12-19T09:00:00Z,D,CPH
12048263,DY,DY608,2023-12-19T09:40:00Z,D,BGO
12047988,SK,SK7525,2023-12-19T09:40:00Z,D,ALC
12047992,LO,LO482,2023-12-19T09:40:00Z,D,WAW
12048316,DY,DY750,2023-12-19T09:40:00Z,D,TRD
12047699,SK,SK907,2023-12-19T09:45:00Z,D,EWR
12048444,DY,DY1784,2023-12-19T09:45:00Z,D,FNC
12048671,SK,SK4609,2023-12-19T09:55:00Z,D,MAN
12048436,DY,DY1190,2023-12-19T10:00:00Z,D,HEL
12048383,SK,SK837,2023-12-19T10:05:00Z,D,CDG
12048400,DY,DY1052,2023-12-19T10:05:00Z,D,GDN
12047877,SK,SK4086,2023-12-19T10:10:00Z,D,EVE
12098185,PC,PC7112,2023-12-19T10:10:00Z,D,SAW
12048475,DY,DY1816,2023-12-19T10:10:00Z,D,LPA
12048370,DY,DY1086,2023-12-19T10:15:00Z,D,PLQ
12048516,SK,SK4023,2023-12-19T10:15:00Z,D,SVG
12104662,SK,SK1467,2023-12-19T10:20:00Z,D,CPH
12048431,DY,DY1104,2023-12-19T10:20:00Z,D,BER
12048613,SK,SK4416,2023-12-19T10:20:00Z,D,TOS
12048451,DY,DY1640,2023-12-19T10:25:00Z,D,EDI
12049057,LH,LH2453,2023-12-19T10:25:00Z,D,MUC
12049237,LM,LM004,2023-12-19T10:30:00Z,D,NCL
12048643,SK,SK4546,2023-12-19T10:35:00Z,D,ALF
12047707,BA,BA763,2023-12-19T10:45:00Z,D,LHR
12047981,WF,WF169,2023-12-19T10:45:00Z,D,HOV
12048085,WF,WF187,2023-12-19T11:00:00Z,D,FDE
12048178,DY,DY532,2023-12-19T11:00:00Z,D,SVG
12047776,TK,TK1752,2023-12-19T11:10:00Z,D,IST
12048365,SK,SK1320,2023-12-19T11:15:00Z,D,AES
12047907,WF,WF149,2023-12-19T11:30:00Z,D,OSL
12048141,DY,DY374,2023-12-19T11:35:00Z,D,TOS
11983370,KL,KL1144,2023-12-19T11:40:00Z,D,AMS
12048379,SK,SK868,2023-12-19T11:45:00Z,D,ARN
12047745,DY,DY8434,2023-12-19T12:00:00Z,D,RIX
12047754,FI,FI319,2023-12-19T12:00:00Z,D,KEF
12047963,SK,SK4518,2023-12-19T12:00:00Z,D,MOL
12104508,BRR,BRR2412,2023-12-19T12:00:00Z,D,SYG
12048363,DY,DY1040,2023-12-19T12:00:00Z,D,KRK
12104672,SK,SK805,2023-12-19T12:05:00Z,D,LHR
12104747,LH,LH861,2023-12-19T12:05:00Z,D,FRA
12047993,AY,AY914,2023-12-19T12:15:00Z,D,HEL
12048238,DY,DY612,2023-12-19T12:20:00Z,D,BGO
12048119,DY,DY362,2023-12-19T12:25:00Z,D,EVE
12048428,SK,SK1469,2023-12-19T12:25:00Z,D,CPH
12048314,DY,DY754,2023-12-19T12:25:00Z,D,TRD
12048159,DY,DY534,2023-12-19T12:35:00Z,D,SVG
12048338,SK,SK484,2023-12-19T12:50:00Z,D,ARN
12048035,SK,SK267,2023-12-19T13:05:00Z,D,BGO
12048645,EK,EK160,2023-12-19T13:10:00Z,D,DXB
12048450,SK,SK1927,2023-12-19T13:20:00Z,D,AAR
12048347,DY,DY756,2023-12-19T13:40:00Z,D,TRD
12048081,WF,WF191,2023-12-19T13:45:00Z,D,FDE
12047977,WF,WF173,2023-12-19T13:45:00Z,D,HOV
12048244,SK,SK393,2023-12-19T13:45:00Z,D,BDU
12048607,SK,SK4422,2023-12-19T13:50:00Z,D,TOS
12047764,QR,QR176,2023-12-19T14:00:00Z,D,DOH
12048342,DY,DY816,2023-12-19T14:00:00Z,D,ARN
12048506,SK,SK4031,2023-12-19T14:00:00Z,D,SVG
12048161,DY,DY378,2023-12-19T14:00:00Z,D,TOS
12048386,SK,SK809,2023-12-19T14:00:00Z,D,LHR
12048188,DY,DY410,2023-12-19T14:10:00Z,D,AES
12048218,DY,DY536,2023-12-19T14:15:00Z,D,SVG
12048149,SK,SK362,2023-12-19T14:20:00Z,D,TRD
12048117,DY,DY346,2023-12-19T14:30:00Z,D,BOO
12048438,DY,DY1308,2023-12-19T14:30:00Z,D,LGW
12048469,SK,SK1905,2023-12-19T14:30:00Z,D,BLL
12099839,SK,SK4116,2023-12-19T14:30:00Z,D,BOO
12048276,DY,DY618,2023-12-19T14:30:00Z,D,BGO
12048674,SK,SK271,2023-12-19T14:35:00Z,D,BGO
12047891,LH,LH863,2023-12-19T14:55:00Z,D,FRA
12047811,D8,D83229,2023-12-19T15:00:00Z,D,CPH
12047923,WF,WF153,2023-12-19T15:00:00Z,D,OSL
12048546,SK,SK4094,2023-12-19T15:00:00Z,D,EVE
12048358,SK,SK882,2023-12-19T15:05:00Z,D,ARN
12047702,N0,N0091,2023-12-19T15:10:00Z,D,BKK
12048299,SK,SK459,2023-12-19T15:10:00Z,D,CPH
12048476,SK,SK2305,2023-12-19T15:10:00Z,D,KSU
12048210,DY,DY538,2023-12-19T15:15:00Z,D,SVG
12048673,SK,SK4745,2023-12-19T15:15:00Z,D,BRU
12048518,SK,SK4039,2023-12-19T15:15:00Z,D,SVG
12048018,DX,DX574,2023-12-19T15:15:00Z,D,FRO
12048246,DY,DY620,2023-12-19T15:20:00Z,D,BGO
12048328,DY,DY760,2023-12-19T15:20:00Z,D,TRD
12048390,SK,SK818,2023-12-19T15:25:00Z,D,DUS
12048361,SK,SK827,2023-12-19T15:30:00Z,D,AMS
12048038,DY,DY190,2023-12-19T15:30:00Z,D,HAU
12048633,SK,SK4424,2023-12-19T15:40:00Z,D,TOS
12048001,WF,WF175,2023-12-19T15:45:00Z,D,BGO
12048104,SK,SK884,2023-12-19T15:50:00Z,D,ARN
12048087,DY,DY276,2023-12-19T15:55:00Z,D,KRS
12045432,SK,SK1326,2023-12-19T16:00:00Z,D,AES
12047752,KL,KL1148,2023-12-19T16:00:00Z,D,AMS
12048336,DY,DY820,2023-12-19T16:00:00Z,D,ARN
12048392,SK,SK811,2023-12-19T16:00:00Z,D,LHR
12048289,DY,DY762,2023-12-19T16:00:00Z,D,TRD
12048250,DY,DY622,2023-12-19T16:00:00Z,D,BGO
12104515,JUL,JUL2512,2023-12-19T16:00:00Z,D,JUL
12047842,SK,SK277,2023-12-19T16:00:00Z,D,BGO
12048182,DY,DY540,2023-12-19T16:05:00Z,D,SVG
12048514,SK,SK221,2023-12-19T16:05:00Z,D,KRS
12048127,DY,DY328,2023-12-19T16:10:00Z,D,ALF
12048528,SK,SK4043,2023-12-19T16:15:00Z,D,SVG
12048208,DY,DY430,2023-12-19T16:15:00Z,D,MOL
11925816,DX,DX568,2023-12-19T16:20:00Z,D,OLA
12047840,AF,AF1775,2023-12-19T16:20:00Z,D,CDG
12048017,AY,AY916,2023-12-19T16:20:00Z,D,HEL
12048382,DY,DY948,2023-12-19T16:25:00Z,D,CPH
12048105,DY,DY350,2023-12-19T16:30:00Z,D,BOO
12048556,SK,SK4122,2023-12-19T16:30:00Z,D,BOO
12047973,WF,WF155,2023-12-19T16:30:00Z,D,BGO
12048222,DY,DY626,2023-12-19T16:40:00Z,D,BGO
12048151,WF,WF195,2023-12-19T16:45:00Z,D,FDE
12048296,DY,DY764,2023-12-19T16:50:00Z,D,TRD
12047848,WF,WF038,2023-12-19T16:50:00Z,D,RRS
12048079,SK,SK488,2023-12-19T16:50:00Z,D,ARN
12048115,DY,DY366,2023-12-19T16:55:00Z,D,EVE
12048194,DY,DY414,2023-12-19T17:00:00Z,D,AES
12106601,SN,SN2284,2023-12-19T17:00:00Z,D,BRU
